Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
34,Serge Gnabry (http://www.capology.com/soccer/player/serge-gnabry/salary-profile/),"€97,544",LW,23,Reserve,5,"€5,072,266","€5,072,266","€5,072,266","€5,072,266","€5,072,266",€0,€0,Bayern Munich
35,Yunus Malli (http://www.capology.com/soccer/player/yunus-malli/salary-profile/),"€97,544",AM,27,Reserve,3,"€5,072,266","€5,072,266","€5,072,266",€0,€0,€0,€0,Wolfsburg
36,Lars Bender (http://www.capology.com/soccer/player/lars-bender/salary-profile/),"€87,082",DM,29,Reserve,3,"€4,528,284","€4,528,284","€4,528,284",€0,€0,€0,€0,Bayer Leverkusen
37,Abdou Diallo (http://www.capology.com/soccer/player/abdou-diallo/salary-profile/),"€86,995",CB,22,Starter,5,"€4,523,760","€4,523,760","€4,523,760","€4,523,760","€4,523,760",€0,€0,Borussia Dortmund
38,Breel Embolo (http://www.capology.com/soccer/player/breel-embolo/salary-profile/),"€86,995",CF,22,Reserve,3,"€4,523,760","€4,523,760","€4,523,760",€0,€0,€0,€0,Schalke 04
39,Daniel Ginczek (http://www.capology.com/soccer/player/daniel-ginczek/salary-profile/),"€86,995",CF,27,Reserve,4,"€4,523,760","€4,523,760","€4,523,760","€4,523,760",€0,€0,€0,Wolfsburg
40,Leon Bailey (http://www.capology.com/soccer/player/leon-bailey/salary-profile/),"€86,995",LW,21,Starter,5,"€4,523,760","€4,523,760","€4,523,760","€4,523,760","€4,523,760",€0,€0,Bayer Leverkusen
41,Mark Uth (http://www.capology.com/soccer/player/mark-uth/salary-profile/),"€86,995",CF,27,Starter,4,"€4,523,760","€4,523,760","€4,523,760","€4,523,760",€0,€0,€0,Schalke 04
42,Matija Nastasic (http://www.capology.com/soccer/player/matija-nastasic/salary-profile/),"€86,995",CB,26,Starter,4,"€4,523,760","€4,523,760","€4,523,760","€4,523,760",€0,€0,€0,Schalke 04
43,Maximilian Arnold (http://www.capology.com/soccer/player/maximilian-arnold/salary-profile/),"€86,995",CM,24,Starter,4,"€4,523,760","€4,523,760","€4,523,760","€4,523,760",€0,€0,€0,Wolfsburg
44,Paul-Georges Ntep (http://www.capology.com/soccer/player/paul-georges-ntep/salary-profile/),"€86,995",LW,26,Reserve,3,"€4,523,760","€4,523,760","€4,523,760",€0,€0,€0,€0,Wolfsburg
45,Sebastian Jung (http://www.capology.com/soccer/player/sebastian-jung/salary-profile/),"€86,995",RB,28,Reserve,1,"€4,523,760",€0,€0,€0,€0,€0,€0,Wolfsburg
46,Emil Forsberg (http://www.capology.com/soccer/player/emil-forsberg/salary-profile/),"€86,691",LW,27,Starter,4,"€4,507,927","€4,507,927","€4,507,927","€4,507,927",€0,€0,€0,Leipzig
47,John Anthony Brooks (http://www.capology.com/soccer/player/john-anthony-brooks/salary-profile/),"€86,691",CB,26,Starter,4,"€4,507,927","€4,507,927","€4,507,927","€4,507,927",€0,€0,€0,Wolfsburg
48,Julian Brandt (http://www.capology.com/soccer/player/julian-brandt/salary-profile/),"€86,691",LW,22,Starter,3,"€4,507,927","€4,507,927","€4,507,927",€0,€0,€0,€0,Bayer Leverkusen
49,Julian Weigl (http://www.capology.com/soccer/player/julian-weigl/salary-profile/),"€86,691",DM,23,Starter,3,"€4,507,927","€4,507,927","€4,507,927",€0,€0,€0,€0,Borussia Dortmund
50,Maximilian Philipp (http://www.capology.com/soccer/player/maximilian-philipp/salary-profile/),"€86,691",CF,25,Reserve,4,"€4,507,927","€4,507,927","€4,507,927","€4,507,927",€0,€0,€0,Borussia Dortmund
51,Paco Alcácer (http://www.capology.com/soccer/player/paco-alcacer/salary-profile/),"€86,691",CF,25,Starter,1,"€4,507,927",€0,€0,€0,€0,€0,€0,Borussia Dortmund
52,Raffael (http://www.capology.com/soccer/player/raffael/salary-profile/),"€86,691",SS,34,Reserve,2,"€4,507,927","€4,507,927",€0,€0,€0,€0,€0,Mönchengladbach
53,Jean-Kévin Augustin (http://www.capology.com/soccer/player/jean-kevin-augustin/salary-profile/),"€86,125",CF,21,Reserve,4,"€4,478,522","€4,478,522","€4,478,522","€4,478,522",€0,€0,€0,Leipzig
54,Bruma (http://www.capology.com/soccer/player/bruma/salary-profile/),"€82,646",LW,24,Reserve,4,"€4,297,572","€4,297,572","€4,297,572","€4,297,572",€0,€0,€0,Leipzig
55,Kevin Trapp (http://www.capology.com/soccer/player/kevin-trapp/salary-profile/),"€78,035",GK,28,Starter,1,"€4,057,813",€0,€0,€0,€0,€0,€0,Eintracht Frankfurt
56,Admir Mehmedi (http://www.capology.com/soccer/player/admir-mehmedi/salary-profile/),"€76,121",SS,28,Reserve,4,"€3,958,290","€3,958,290","€3,958,290","€3,958,290",€0,€0,€0,Wolfsburg
57,Salif Sané (http://www.capology.com/soccer/player/salif-sane/salary-profile/),"€76,121",CB,28,Starter,4,"€3,958,290","€3,958,290","€3,958,290","€3,958,290",€0,€0,€0,Schalke 04
58,Ömer Toprak (http://www.capology.com/soccer/player/omer-toprak/salary-profile/),"€76,121",CB,29,Reserve,3,"€3,958,290","€3,958,290","€3,958,290",€0,€0,€0,€0,Borussia Dortmund
59,Davy Klaassen (http://www.capology.com/soccer/player/davy-klaassen/salary-profile/),"€75,860",AM,26,Starter,4,"€3,944,719","€3,944,719","€3,944,719","€3,944,719",€0,€0,€0,Werder Bremen
60,Kevin Kampl (http://www.capology.com/soccer/player/kevin-kampl/salary-profile/),"€75,860",CM,28,Reserve,3,"€3,944,719","€3,944,719","€3,944,719",€0,€0,€0,€0,Leipzig
61,Alassane Plea (http://www.capology.com/soccer/player/alassane-plea/salary-profile/),"€65,247",CF,26,Reserve,5,"€3,392,820","€3,392,820","€3,392,820","€3,392,820","€3,392,820",€0,€0,Mönchengladbach
62,Aleksandar Dragovic (http://www.capology.com/soccer/player/aleksandar-dragovic/salary-profile/),"€65,247",CB,28,Starter,3,"€3,392,820","€3,392,820","€3,392,820",€0,€0,€0,€0,Bayer Leverkusen
63,Andrej Kramaric (http://www.capology.com/soccer/player/andrej-kramaric/salary-profile/),"€65,247",CF,27,Starter,4,"€3,392,820","€3,392,820","€3,392,820","€3,392,820",€0,€0,€0,Hoffenheim
64,Ante Rebic (http://www.capology.com/soccer/player/ante-rebic/salary-profile/),"€65,247",LW,25,Reserve,4,"€3,392,820","€3,392,820","€3,392,820","€3,392,820",€0,€0,€0,Eintracht Frankfurt
65,Christoph Kramer (http://www.capology.com/soccer/player/christoph-kramer/salary-profile/),"€65,247",DM,28,Starter,3,"€3,392,820","€3,392,820","€3,392,820",€0,€0,€0,€0,Mönchengladbach
66,Gonzalo Castro (http://www.capology.com/soccer/player/gonzalo-castro/salary-profile/),"€65,247",CM,31,Starter,3,"€3,392,820","€3,392,820","€3,392,820",€0,€0,€0,€0,Stuttgart
67,Holger Badstuber (http://www.capology.com/soccer/player/holger-badstuber/salary-profile/),"€65,247",CB,30,Reserve,3,"€3,392,820","€3,392,820","€3,392,820",€0,€0,€0,€0,Stuttgart
68,Jeffrey Bruma (http://www.capology.com/soccer/player/jeffrey-bruma/salary-profile/),"€65,247",CB,27,Starter,1,"€3,392,820",€0,€0,€0,€0,€0,€0,Schalke 04
69,Jonathas (http://www.capology.com/soccer/player/jonathas/salary-profile/),"€65,247",CF,30,Starter,2,"€3,392,820","€3,392,820",€0,€0,€0,€0,€0,Hannover
70,Mitchell Weiser (http://www.capology.com/soccer/player/mitchell-weiser/salary-profile/),"€65,247",RB,24,Starter,5,"€3,392,820","€3,392,820","€3,392,820","€3,392,820","€3,392,820",€0,€0,Bayer Leverkusen
71,Niklas Süle (http://www.capology.com/soccer/player/niklas-sule/salary-profile/),"€65,247",CB,23,Starter,4,"€3,392,820","€3,392,820","€3,392,820","€3,392,820",€0,€0,€0,Bayern Munich
72,Nordi Mukiele (http://www.capology.com/soccer/player/nordi-mukiele/salary-profile/),"€65,247",RB,21,Reserve,5,"€3,392,820","€3,392,820","€3,392,820","€3,392,820","€3,392,820",€0,€0,Leipzig
73,Sandro Wagner (http://www.capology.com/soccer/player/sandro-wagner/salary-profile/),"€65,247",CF,31,Reserve,2,"€3,392,820","€3,392,820",€0,€0,€0,€0,€0,Bayern Munich
74,Ádám Szalai (http://www.capology.com/soccer/player/adam-szalai/salary-profile/),"€65,247",CF,31,Reserve,1,"€3,392,820",€0,€0,€0,€0,€0,€0,Hoffenheim
75,Jonathan Tah (http://www.capology.com/soccer/player/jonathan-tah/salary-profile/),"€65,029",CB,23,Starter,5,"€3,381,511","€3,381,511","€3,381,511","€3,381,511","€3,381,511",€0,€0,Bayer Leverkusen
76,Kerem Demirbay (http://www.capology.com/soccer/player/kerem-demirbay/salary-profile/),"€65,029",CM,25,Starter,4,"€3,381,511","€3,381,511","€3,381,511","€3,381,511",€0,€0,€0,Hoffenheim
77,Lars Stindl (http://www.capology.com/soccer/player/lars-stindl/salary-profile/),"€65,029",SS,30,Starter,3,"€3,381,511","€3,381,511","€3,381,511",€0,€0,€0,€0,Mönchengladbach
78,Marcel Halstenberg (http://www.capology.com/soccer/player/marcel-halstenberg/salary-profile/),"€65,029",LB,27,Starter,4,"€3,381,511","€3,381,511","€3,381,511","€3,381,511",€0,€0,€0,Leipzig
79,Matthias Ginter (http://www.capology.com/soccer/player/matthias-ginter/salary-profile/),"€65,029",CB,25,Starter,3,"€3,381,511","€3,381,511","€3,381,511",€0,€0,€0,€0,Mönchengladbach
80,Max Kruse (http://www.capology.com/soccer/player/max-kruse/salary-profile/),"€65,029",SS,31,Starter,1,"€3,381,511",€0,€0,€0,€0,€0,€0,Werder Bremen
81,Ralf Fährmann (http://www.capology.com/soccer/player/ralf-fahrmann/salary-profile/),"€65,029",GK,30,Starter,4,"€3,381,511","€3,381,511","€3,381,511","€3,381,511",€0,€0,€0,Schalke 04
82,Sebastian Rode (http://www.capology.com/soccer/player/sebastian-rode/salary-profile/),"€65,029",CM,28,Starter,1,"€3,381,511",€0,€0,€0,€0,€0,€0,Eintracht Frankfurt
83,Timo Werner (http://www.capology.com/soccer/player/timo-werner/salary-profile/),"€65,029",CF,23,Starter,2,"€3,381,511","€3,381,511",€0,€0,€0,€0,€0,Leipzig
84,Vedad Ibisevic (http://www.capology.com/soccer/player/vedad-ibisevic/salary-profile/),"€65,029",CF,34,Reserve,1,"€3,381,511",€0,€0,€0,€0,€0,€0,Hertha Berlin
85,Wout Weghorst (http://www.capology.com/soccer/player/wout-weghorst/salary-profile/),"€65,029",CF,26,Starter,4,"€3,381,511","€3,381,511","€3,381,511","€3,381,511",€0,€0,€0,Wolfsburg
86,Yannick Gerhardt (http://www.capology.com/soccer/player/yannick-gerhardt/salary-profile/),"€65,029",CM,25,Starter,3,"€3,381,511","€3,381,511","€3,381,511",€0,€0,€0,€0,Wolfsburg
87,Charles Aránguiz (http://www.capology.com/soccer/player/charles-aranguiz/salary-profile/),"€64,464",CM,29,Starter,2,"€3,352,106","€3,352,106",€0,€0,€0,€0,€0,Bayer Leverkusen
88,Lucas Alario (http://www.capology.com/soccer/player/lucas-alario/salary-profile/),"€64,464",CF,26,Starter,4,"€3,352,106","€3,352,106","€3,352,106","€3,352,106",€0,€0,€0,Bayer Leverkusen
89,Lukasz Piszczek (http://www.capology.com/soccer/player/lukasz-piszczek/salary-profile/),"€62,854",RB,33,Reserve,2,"€3,268,417","€3,268,417",€0,€0,€0,€0,€0,Borussia Dortmund
90,Salomon Kalou (http://www.capology.com/soccer/player/salomon-kalou/salary-profile/),"€60,679",LW,33,Starter,2,"€3,155,323","€3,155,323",€0,€0,€0,€0,€0,Hertha Berlin
91,Ibrahima Traoré (http://www.capology.com/soccer/player/ibrahima-traore/salary-profile/),"€58,722",RW,30,Reserve,3,"€3,053,538","€3,053,538","€3,053,538",€0,€0,€0,€0,Mönchengladbach
92,Bastian Oczipka (http://www.capology.com/soccer/player/bastian-oczipka/salary-profile/),"€54,372",LM,30,Starter,2,"€2,827,350","€2,827,350",€0,€0,€0,€0,€0,Schalke 04
93,Daniel Didavi (http://www.capology.com/soccer/player/daniel-didavi/salary-profile/),"€54,372",AM,29,Reserve,3,"€2,827,350","€2,827,350","€2,827,350",€0,€0,€0,€0,Stuttgart
94,Jiri Pavlenka (http://www.capology.com/soccer/player/jiri-pavlenka/salary-profile/),"€54,372",GK,26,Starter,3,"€2,827,350","€2,827,350","€2,827,350",€0,€0,€0,€0,Werder Bremen
95,Josip Drmic (http://www.capology.com/soccer/player/josip-drmic/salary-profile/),"€54,372",CF,26,Reserve,1,"€2,827,350",€0,€0,€0,€0,€0,€0,Mönchengladbach
96,Marcel Schmelzer (http://www.capology.com/soccer/player/marcel-schmelzer/salary-profile/),"€54,372",LB,31,Reserve,3,"€2,827,350","€2,827,350","€2,827,350",€0,€0,€0,€0,Borussia Dortmund
97,Niclas Füllkrug (http://www.capology.com/soccer/player/niclas-fullkrug/salary-profile/),"€54,372",CF,26,Reserve,4,"€2,827,350","€2,827,350","€2,827,350","€2,827,350",€0,€0,€0,Hannover
98,Roman Bürki (http://www.capology.com/soccer/player/roman-burki/salary-profile/),"€54,372",GK,28,Starter,3,"€2,827,350","€2,827,350","€2,827,350",€0,€0,€0,€0,Borussia Dortmund
99,Sven Ulreich (http://www.capology.com/soccer/player/sven-ulreich/salary-profile/),"€54,372",GK,30,Reserve,3,"€2,827,350","€2,827,350","€2,827,350",€0,€0,€0,€0,Bayern Munich
100,Daniel Caligiuri (http://www.capology.com/soccer/player/daniel-caligiuri/salary-profile/),"€54,176",RM,31,Starter,2,"€2,817,172","€2,817,172",€0,€0,€0,€0,€0,Schalke 04
101,Fabian Johnson (http://www.capology.com/soccer/player/fabian-johnson/salary-profile/),"€54,176",LW,31,Starter,2,"€2,817,172","€2,817,172",€0,€0,€0,€0,€0,Mönchengladbach
102,Josuha Guilavogui (http://www.capology.com/soccer/player/josuha-guilavogui/salary-profile/),"€54,176",DM,28,Starter,2,"€2,817,172","€2,817,172",€0,€0,€0,€0,€0,Wolfsburg
103,Leonardo Bittencourt (http://www.capology.com/soccer/player/leonardo-bittencourt/salary-profile/),"€54,176",AM,25,Reserve,5,"€2,817,172","€2,817,172","€2,817,172","€2,817,172","€2,817,172",€0,€0,Hoffenheim
104,Manuel Akanji (http://www.capology.com/soccer/player/manuel-akanji/salary-profile/),"€54,176",CB,23,Reserve,4,"€2,817,172","€2,817,172","€2,817,172","€2,817,172",€0,€0,€0,Borussia Dortmund
105,Vladimir Darida (http://www.capology.com/soccer/player/vladimir-darida/salary-profile/),"€54,176",CM,28,Reserve,3,"€2,817,172","€2,817,172","€2,817,172",€0,€0,€0,€0,Hertha Berlin
106,Willi Orban (http://www.capology.com/soccer/player/willi-orban/salary-profile/),"€54,176",CB,26,Starter,4,"€2,817,172","€2,817,172","€2,817,172","€2,817,172",€0,€0,€0,Leipzig
107,Yann Sommer (http://www.capology.com/soccer/player/yann-sommer/salary-profile/),"€54,176",GK,30,Starter,3,"€2,817,172","€2,817,172","€2,817,172",€0,€0,€0,€0,Mönchengladbach
108,Dayot Upamecano (http://www.capology.com/soccer/player/dayot-upamecano/salary-profile/),"€52,197",CB,20,Reserve,3,"€2,714,256","€2,714,256","€2,714,256",€0,€0,€0,€0,Leipzig
109,Diego Demme (http://www.capology.com/soccer/player/diego-demme/salary-profile/),"€52,023",DM,27,Starter,3,"€2,705,208","€2,705,208","€2,705,208",€0,€0,€0,€0,Leipzig
110,Christian Gentner (http://www.capology.com/soccer/player/christian-gentner/salary-profile/),"€47,673",CM,33,Reserve,1,"€2,479,020",€0,€0,€0,€0,€0,€0,Stuttgart
111,Kevin Wimmer (http://www.capology.com/soccer/player/kevin-wimmer/salary-profile/),"€44,085",CB,26,Starter,1,"€2,292,415",€0,€0,€0,€0,€0,€0,Hannover
112,Denis Zakaria (http://www.capology.com/soccer/player/denis-zakaria/salary-profile/),"€43,498",DM,22,Starter,4,"€2,261,880","€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,Mönchengladbach
113,Felix Klaus (http://www.capology.com/soccer/player/felix-klaus/salary-profile/),"€43,498",RW,26,Reserve,4,"€2,261,880","€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,Wolfsburg
114,Jean-Philippe Gbamin (http://www.capology.com/soccer/player/jean-philippe-gbamin/salary-profile/),"€43,498",DM,23,Starter,5,"€2,261,880","€2,261,880","€2,261,880","€2,261,880","€2,261,880",€0,€0,Mainz
115,Kevin Vogt (http://www.capology.com/soccer/player/kevin-vogt/salary-profile/),"€43,498",CB,27,Starter,4,"€2,261,880","€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,Hoffenheim
116,Konrad Laimer (http://www.capology.com/soccer/player/konrad-laimer/salary-profile/),"€43,498",RB,21,Reserve,3,"€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,€0,Leipzig
117,Ludwig Augustinsson (http://www.capology.com/soccer/player/ludwig-augustinsson/salary-profile/),"€43,498",LB,24,Starter,4,"€2,261,880","€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,Werder Bremen
118,Lukas Rupp (http://www.capology.com/soccer/player/lukas-rupp/salary-profile/),"€43,498",CM,28,Reserve,2,"€2,261,880","€2,261,880",€0,€0,€0,€0,€0,Hoffenheim
119,Martin Harnik (http://www.capology.com/soccer/player/martin-harnik/salary-profile/),"€43,498",CF,31,Reserve,3,"€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,€0,Werder Bremen
120,Marwin Hitz (http://www.capology.com/soccer/player/marwin-hitz/salary-profile/),"€43,498",GK,31,Reserve,3,"€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,€0,Borussia Dortmund
121,Nicolai Müller (http://www.capology.com/soccer/player/nicolai-muller/salary-profile/),"€43,498",RW,31,Starter,1,"€2,261,880",€0,€0,€0,€0,€0,€0,Hannover
122,Nuri Sahin (http://www.capology.com/soccer/player/nuri-sahin/salary-profile/),"€43,498",DM,30,Reserve,2,"€2,261,880","€2,261,880",€0,€0,€0,€0,€0,Werder Bremen
123,Panagiotis Retsos (http://www.capology.com/soccer/player/panagiotis-retsos/salary-profile/),"€43,498",CB,20,Reserve,4,"€2,261,880","€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,Bayer Leverkusen
124,Patrick Herrmann (http://www.capology.com/soccer/player/patrick-herrmann/salary-profile/),"€43,498",RW,28,Starter,1,"€2,261,880",€0,€0,€0,€0,€0,€0,Mönchengladbach
125,Pavel Kaderabek (http://www.capology.com/soccer/player/pavel-kaderabek/salary-profile/),"€43,498",RB,26,Starter,5,"€2,261,880","€2,261,880","€2,261,880","€2,261,880","€2,261,880",€0,€0,Hoffenheim
126,Santiago Ascacíbar (http://www.capology.com/soccer/player/santiago-ascacibar/salary-profile/),"€43,498",DM,22,Starter,5,"€2,261,880","€2,261,880","€2,261,880","€2,261,880","€2,261,880",€0,€0,Stuttgart
127,Walace (http://www.capology.com/soccer/player/walace/salary-profile/),"€43,498",DM,24,Starter,4,"€2,261,880","€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,Hannover
128,Wendell (http://www.capology.com/soccer/player/wendell/salary-profile/),"€43,498",LB,25,Starter,3,"€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,€0,Bayer Leverkusen
129,Yussuf Poulsen (http://www.capology.com/soccer/player/yussuf-poulsen/salary-profile/),"€43,498",CF,24,Starter,4,"€2,261,880","€2,261,880","€2,261,880","€2,261,880",€0,€0,€0,Leipzig
130,Milot Rashica (http://www.capology.com/soccer/player/milot-rashica/salary-profile/),"€43,367",RW,22,Starter,4,"€2,255,094","€2,255,094","€2,255,094","€2,255,094",€0,€0,€0,Werder Bremen
131,Alessandro Schöpf (http://www.capology.com/soccer/player/alessandro-schopf/salary-profile/),"€43,345",RM,25,Reserve,3,"€2,253,963","€2,253,963","€2,253,963",€0,€0,€0,€0,Schalke 04
132,Alfred Finnbogason (http://www.capology.com/soccer/player/alfred-finnbogason/salary-profile/),"€43,345",CF,30,Reserve,2,"€2,253,963","€2,253,963",€0,€0,€0,€0,€0,Augsburg
133,Daniel Baier (http://www.capology.com/soccer/player/daniel-baier/salary-profile/),"€43,345",DM,34,Reserve,2,"€2,253,963","€2,253,963",€0,€0,€0,€0,€0,Augsburg
134,Fabian Lustenberger (http://www.capology.com/soccer/player/fabian-lustenberger/salary-profile/),"€43,345",DM,30,Starter,1,"€2,253,963",€0,€0,€0,€0,€0,€0,Hertha Berlin
135,Jadon Sancho (http://www.capology.com/soccer/player/jadon-sancho/salary-profile/),"€43,345",LW,19,Starter,4,"€2,253,963","€2,253,963","€2,253,963","€2,253,963",€0,€0,€0,Borussia Dortmund
136,Julian Baumgartlinger (http://www.capology.com/soccer/player/julian-baumgartlinger/salary-profile/),"€43,345",DM,31,Reserve,2,"€2,253,963","€2,253,963",€0,€0,€0,€0,€0,Bayer Leverkusen
