Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
13,Alexandre Lacazette (http://www.capology.com/soccer/player/alexandre-lacazette/salary-profile/),"$240,220",CF,27,Starter,4,"$12,491,416","$12,491,416","$12,491,416","$12,491,416",$0,$0,$0,Arsenal
14,Fernandinho (http://www.capology.com/soccer/player/fernandinho/salary-profile/),"$237,479",DM,33,Starter,2,"$12,348,929","$12,348,929",$0,$0,$0,$0,$0,Manchester City
15,Nicolás Otamendi (http://www.capology.com/soccer/player/nicolas-otamendi/salary-profile/),"$237,479",CB,31,Starter,4,"$12,348,929","$12,348,929","$12,348,929","$12,348,929",$0,$0,$0,Manchester City
16,Pierre-Emerick Aubameyang (http://www.capology.com/soccer/player/pierre-emerick-aubameyang/salary-profile/),"$237,479",CF,29,Starter,3,"$12,348,929","$12,348,929","$12,348,929",$0,$0,$0,$0,Arsenal
17,Roberto Firmino (http://www.capology.com/soccer/player/roberto-firmino/salary-profile/),"$237,479",SS,27,Starter,5,"$12,348,929","$12,348,929","$12,348,929","$12,348,929","$12,348,929",$0,$0,Liverpool
18,Romelu Lukaku (http://www.capology.com/soccer/player/romelu-lukaku/salary-profile/),"$237,479",CF,25,Starter,4,"$12,348,929","$12,348,929","$12,348,929","$12,348,929",$0,$0,$0,Manchester United
19,Virgil van Dijk (http://www.capology.com/soccer/player/virgil-van-dijk/salary-profile/),"$237,479",CB,27,Starter,5,"$12,348,929","$12,348,929","$12,348,929","$12,348,929","$12,348,929",$0,$0,Liverpool
20,David Silva (http://www.capology.com/soccer/player/david-silva/salary-profile/),"$211,093",AM,33,Starter,2,"$10,976,826","$10,976,826",$0,$0,$0,$0,$0,Manchester City
21,Juan Mata (http://www.capology.com/soccer/player/juan-mata/salary-profile/),"$211,093",AM,30,Starter,1,"$10,976,826",$0,$0,$0,$0,$0,$0,Manchester United
22,Kepa (http://www.capology.com/soccer/player/kepa/salary-profile/),"$201,350",GK,24,Starter,7,"$10,470,203","$10,470,203","$10,470,203","$10,470,203","$10,470,203","$10,470,203","$10,470,203",Chelsea
23,Bernardo Silva (http://www.capology.com/soccer/player/bernardo-silva/salary-profile/),"$197,900",RW,24,Reserve,7,"$10,290,774","$10,290,774","$10,290,774","$10,290,774","$10,290,774","$10,290,774","$10,290,774",Manchester City
24,Luke Shaw (http://www.capology.com/soccer/player/luke-shaw/salary-profile/),"$197,900",LB,23,Starter,5,"$10,290,774","$10,290,774","$10,290,774","$10,290,774","$10,290,774",$0,$0,Manchester United
25,N'Golo Kanté (http://www.capology.com/soccer/player/n-golo-kante/salary-profile/),"$197,900",CM,28,Starter,5,"$10,290,774","$10,290,774","$10,290,774","$10,290,774","$10,290,774",$0,$0,Chelsea
26,Raheem Sterling (http://www.capology.com/soccer/player/raheem-sterling/salary-profile/),"$197,900",RW,24,Starter,5,"$10,290,774","$10,290,774","$10,290,774","$10,290,774","$10,290,774",$0,$0,Manchester City
27,Vincent Kompany (http://www.capology.com/soccer/player/vincent-kompany/salary-profile/),"$197,900",CB,33,Reserve,1,"$10,290,774",$0,$0,$0,$0,$0,$0,Manchester City
28,Chicharito (http://www.capology.com/soccer/player/chicharito/salary-profile/),"$184,706",CF,30,Starter,2,"$9,604,722","$9,604,722",$0,$0,$0,$0,$0,West Ham
29,Ilkay Gündogan (http://www.capology.com/soccer/player/ilkay-gundogan/salary-profile/),"$184,706",CM,28,Reserve,2,"$9,604,722","$9,604,722",$0,$0,$0,$0,$0,Manchester City
30,James Milner (http://www.capology.com/soccer/player/james-milner/salary-profile/),"$184,706",CM,33,Starter,1,"$9,604,722",$0,$0,$0,$0,$0,$0,Liverpool
31,Jamie Vardy (http://www.capology.com/soccer/player/jamie-vardy/salary-profile/),"$184,706",CF,32,Starter,4,"$9,604,722","$9,604,722","$9,604,722","$9,604,722",$0,$0,$0,Leicester
32,Jordan Henderson (http://www.capology.com/soccer/player/jordan-henderson/salary-profile/),"$184,706",CM,28,Reserve,5,"$9,604,722","$9,604,722","$9,604,722","$9,604,722","$9,604,722",$0,$0,Liverpool
33,Daniel Sturridge (http://www.capology.com/soccer/player/daniel-sturridge/salary-profile/),"$171,513",CF,29,Reserve,1,"$8,918,671",$0,$0,$0,$0,$0,$0,Liverpool
34,Kasper Schmeichel (http://www.capology.com/soccer/player/kasper-schmeichel/salary-profile/),"$171,513",GK,32,Starter,5,"$8,918,671","$8,918,671","$8,918,671","$8,918,671","$8,918,671",$0,$0,Leicester
35,Wilfried Zaha (http://www.capology.com/soccer/player/wilfried-zaha/salary-profile/),"$171,513",RW,26,Starter,5,"$8,918,671","$8,918,671","$8,918,671","$8,918,671","$8,918,671",$0,$0,Crystal Palace
36,David Luiz (http://www.capology.com/soccer/player/david-luiz/salary-profile/),"$165,804",CB,31,Starter,1,"$8,621,822",$0,$0,$0,$0,$0,$0,Chelsea
37,Danny Welbeck (http://www.capology.com/soccer/player/danny-welbeck/salary-profile/),"$164,916",CF,28,Reserve,1,"$8,575,645",$0,$0,$0,$0,$0,$0,Arsenal
38,Max Meyer (http://www.capology.com/soccer/player/max-meyer/salary-profile/),"$164,916",AM,23,Reserve,3,"$8,575,645","$8,575,645","$8,575,645",$0,$0,$0,$0,Crystal Palace
39,Aaron Ramsey (http://www.capology.com/soccer/player/aaron-ramsey/salary-profile/),"$158,320",CM,28,Starter,1,"$8,232,619",$0,$0,$0,$0,$0,$0,Arsenal
40,Alex Oxlade-Chamberlain (http://www.capology.com/soccer/player/alex-oxlade-chamberlain/salary-profile/),"$158,320",RM,25,Reserve,4,"$8,232,619","$8,232,619","$8,232,619","$8,232,619",$0,$0,$0,Liverpool
41,Ashley Young (http://www.capology.com/soccer/player/ashley-young/salary-profile/),"$158,320",LB,33,Starter,2,"$8,232,619","$8,232,619",$0,$0,$0,$0,$0,Manchester United
42,Aymeric Laporte (http://www.capology.com/soccer/player/aymeric-laporte/salary-profile/),"$158,320",CB,24,Starter,7,"$8,232,619","$8,232,619","$8,232,619","$8,232,619","$8,232,619","$8,232,619","$8,232,619",Manchester City
43,Bernard (http://www.capology.com/soccer/player/bernard/salary-profile/),"$158,320",LW,26,Reserve,4,"$8,232,619","$8,232,619","$8,232,619","$8,232,619",$0,$0,$0,Everton
44,Christian Benteke (http://www.capology.com/soccer/player/christian-benteke/salary-profile/),"$158,320",CF,28,Starter,2,"$8,232,619","$8,232,619",$0,$0,$0,$0,$0,Crystal Palace
45,Fred (http://www.capology.com/soccer/player/fred/salary-profile/),"$158,320",CM,26,Reserve,5,"$8,232,619","$8,232,619","$8,232,619","$8,232,619","$8,232,619",$0,$0,Manchester United
46,Naby Keïta (http://www.capology.com/soccer/player/naby-keita/salary-profile/),"$158,320",CM,24,Starter,5,"$8,232,619","$8,232,619","$8,232,619","$8,232,619","$8,232,619",$0,$0,Liverpool
47,Nemanja Matic (http://www.capology.com/soccer/player/nemanja-matic/salary-profile/),"$158,320",DM,30,Reserve,2,"$8,232,619","$8,232,619",$0,$0,$0,$0,$0,Manchester United
48,Victor Lindelöf (http://www.capology.com/soccer/player/victor-lindelof/salary-profile/),"$158,320",CB,24,Starter,3,"$8,232,619","$8,232,619","$8,232,619",$0,$0,$0,$0,Manchester United
49,Willian (http://www.capology.com/soccer/player/willian/salary-profile/),"$158,320",RW,30,Starter,2,"$8,232,619","$8,232,619",$0,$0,$0,$0,$0,Chelsea
50,Yerry Mina (http://www.capology.com/soccer/player/yerry-mina/salary-profile/),"$158,320",CB,24,Reserve,5,"$8,232,619","$8,232,619","$8,232,619","$8,232,619","$8,232,619",$0,$0,Everton
51,Ander Herrera (http://www.capology.com/soccer/player/ander-herrera/salary-profile/),"$151,723",CM,29,Starter,1,"$7,889,593",$0,$0,$0,$0,$0,$0,Manchester United
52,Claudio Bravo (http://www.capology.com/soccer/player/claudio-bravo/salary-profile/),"$151,723",GK,35,Reserve,2,"$7,889,593","$7,889,593",$0,$0,$0,$0,$0,Manchester City
53,André Gomes (http://www.capology.com/soccer/player/andre-gomes/salary-profile/),"$148,044",CM,25,Reserve,1,"$7,698,291",$0,$0,$0,$0,$0,$0,Everton
54,Adam Lallana (http://www.capology.com/soccer/player/adam-lallana/salary-profile/),"$145,126",AM,30,Reserve,2,"$7,546,568","$7,546,568",$0,$0,$0,$0,$0,Liverpool
55,Anthony Martial (http://www.capology.com/soccer/player/anthony-martial/salary-profile/),"$145,126",LW,23,Reserve,6,"$7,546,568","$7,546,568","$7,546,568","$7,546,568","$7,546,568","$7,546,568",$0,Manchester United
56,Héctor Bellerín (http://www.capology.com/soccer/player/hector-bellerin/salary-profile/),"$145,126",RB,24,Starter,5,"$7,546,568","$7,546,568","$7,546,568","$7,546,568","$7,546,568",$0,$0,Arsenal
57,Jorginho (http://www.capology.com/soccer/player/jorginho/salary-profile/),"$145,126",DM,27,Starter,5,"$7,546,568","$7,546,568","$7,546,568","$7,546,568","$7,546,568",$0,$0,Chelsea
58,Kyle Walker (http://www.capology.com/soccer/player/kyle-walker/salary-profile/),"$145,126",RB,28,Starter,4,"$7,546,568","$7,546,568","$7,546,568","$7,546,568",$0,$0,$0,Manchester City
59,Marcos Rojo (http://www.capology.com/soccer/player/marcos-rojo/salary-profile/),"$145,126",CB,29,Reserve,3,"$7,546,568","$7,546,568","$7,546,568",$0,$0,$0,$0,Manchester United
60,Olivier Giroud (http://www.capology.com/soccer/player/olivier-giroud/salary-profile/),"$145,126",CF,32,Reserve,1,"$7,546,568",$0,$0,$0,$0,$0,$0,Chelsea
61,Petr Cech (http://www.capology.com/soccer/player/petr-cech/salary-profile/),"$145,126",GK,36,Starter,1,"$7,546,568",$0,$0,$0,$0,$0,$0,Arsenal
62,Mateo Kovacic (http://www.capology.com/soccer/player/mateo-kovacic/salary-profile/),"$140,737",CM,24,Starter,1,"$7,318,324",$0,$0,$0,$0,$0,$0,Chelsea
63,André Schürrle (http://www.capology.com/soccer/player/andre-schurrle/salary-profile/),"$136,652",LW,28,Starter,2,"$7,105,911","$7,105,911",$0,$0,$0,$0,$0,Fulham
64,Antonio Rüdiger (http://www.capology.com/soccer/player/antonio-rudiger/salary-profile/),"$131,933",CB,26,Starter,4,"$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,Chelsea
65,Benjamin Mendy (http://www.capology.com/soccer/player/benjamin-mendy/salary-profile/),"$131,933",LB,24,Reserve,5,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,Manchester City
66,Bernd Leno (http://www.capology.com/soccer/player/bernd-leno/salary-profile/),"$131,933",GK,27,Reserve,5,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,Arsenal
67,Danny Drinkwater (http://www.capology.com/soccer/player/danny-drinkwater/salary-profile/),"$131,933",CM,29,Reserve,4,"$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,Chelsea
68,Dejan Lovren (http://www.capology.com/soccer/player/dejan-lovren/salary-profile/),"$131,933",CB,29,Reserve,3,"$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,$0,Liverpool
69,Dele Alli (http://www.capology.com/soccer/player/dele-alli/salary-profile/),"$131,933",AM,23,Starter,6,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,Tottenham
70,Ederson (http://www.capology.com/soccer/player/ederson/salary-profile/),"$131,933",GK,25,Starter,7,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",Manchester City
71,Eliaquim Mangala (http://www.capology.com/soccer/player/eliaquim-mangala/salary-profile/),"$131,933",CB,28,Reserve,2,"$6,860,516","$6,860,516",$0,$0,$0,$0,$0,Manchester City
72,Fabinho (http://www.capology.com/soccer/player/fabinho/salary-profile/),"$131,933",DM,25,Reserve,5,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,Liverpool
73,Granit Xhaka (http://www.capology.com/soccer/player/granit-xhaka/salary-profile/),"$131,933",DM,26,Starter,5,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,Arsenal
74,Gylfi Sigurdsson (http://www.capology.com/soccer/player/gylfi-sigurdsson/salary-profile/),"$131,933",AM,29,Starter,4,"$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,Everton
75,Hugo Lloris (http://www.capology.com/soccer/player/hugo-lloris/salary-profile/),"$131,933",GK,32,Starter,4,"$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,Tottenham
76,Jack Wilshere (http://www.capology.com/soccer/player/jack-wilshere/salary-profile/),"$131,933",CM,27,Reserve,3,"$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,$0,West Ham
77,Joel Matip (http://www.capology.com/soccer/player/joel-matip/salary-profile/),"$131,933",CB,27,Reserve,2,"$6,860,516","$6,860,516",$0,$0,$0,$0,$0,Liverpool
78,John Stones (http://www.capology.com/soccer/player/john-stones/salary-profile/),"$131,933",CB,24,Reserve,4,"$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,Manchester City
79,Jordan Pickford (http://www.capology.com/soccer/player/jordan-pickford/salary-profile/),"$131,933",GK,25,Starter,6,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,Everton
80,João Moutinho (http://www.capology.com/soccer/player/joao-moutinho/salary-profile/),"$131,933",CM,32,Starter,2,"$6,860,516","$6,860,516",$0,$0,$0,$0,$0,Wolverhampton
81,Mamadou Sakho (http://www.capology.com/soccer/player/mamadou-sakho/salary-profile/),"$131,933",CB,29,Starter,3,"$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,$0,Crystal Palace
82,Marcos Alonso (http://www.capology.com/soccer/player/marcos-alonso/salary-profile/),"$131,933",LB,28,Reserve,5,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,Chelsea
83,Marko Arnautovic (http://www.capology.com/soccer/player/marko-arnautovic/salary-profile/),"$131,933",CF,29,Reserve,5,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,West Ham
84,Morgan Schneiderlin (http://www.capology.com/soccer/player/morgan-schneiderlin/salary-profile/),"$131,933",DM,29,Reserve,3,"$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,$0,Everton
85,Ross Barkley (http://www.capology.com/soccer/player/ross-barkley/salary-profile/),"$131,933",AM,25,Reserve,5,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,Chelsea
86,Rui Patrício (http://www.capology.com/soccer/player/rui-patricio/salary-profile/),"$131,933",GK,31,Starter,4,"$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,Wolverhampton
87,Sadio Mané (http://www.capology.com/soccer/player/sadio-mane/salary-profile/),"$131,933",LW,27,Starter,5,"$6,860,516","$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,Liverpool
88,Sead Kolasinac (http://www.capology.com/soccer/player/sead-kolasinac/salary-profile/),"$131,933",LB,25,Reserve,4,"$6,860,516","$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,Arsenal
89,Sokratis (http://www.capology.com/soccer/player/sokratis/salary-profile/),"$131,933",CB,30,Starter,3,"$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,$0,Arsenal
90,Theo Walcott (http://www.capology.com/soccer/player/theo-walcott/salary-profile/),"$131,933",RW,30,Starter,3,"$6,860,516","$6,860,516","$6,860,516",$0,$0,$0,$0,Everton
91,Pedro (http://www.capology.com/soccer/player/pedro/salary-profile/),"$131,654",RW,31,Starter,2,"$6,846,003","$6,846,003",$0,$0,$0,$0,$0,Chelsea
92,Heung-min Son (http://www.capology.com/soccer/player/heung-min-son/salary-profile/),"$125,336",LW,26,Reserve,5,"$6,517,490","$6,517,490","$6,517,490","$6,517,490","$6,517,490",$0,$0,Tottenham
93,Leroy Sané (http://www.capology.com/soccer/player/leroy-sane/salary-profile/),"$125,336",LW,23,Starter,3,"$6,517,490","$6,517,490","$6,517,490",$0,$0,$0,$0,Manchester City
94,Alisson (http://www.capology.com/soccer/player/alisson/salary-profile/),"$118,740",GK,26,Starter,6,"$6,174,464","$6,174,464","$6,174,464","$6,174,464","$6,174,464","$6,174,464",$0,Liverpool
95,Andy Carroll (http://www.capology.com/soccer/player/andy-carroll/salary-profile/),"$118,740",CF,30,Reserve,1,"$6,174,464",$0,$0,$0,$0,$0,$0,West Ham
96,César Azpilicueta (http://www.capology.com/soccer/player/cesar-azpilicueta/salary-profile/),"$118,740",RB,29,Starter,4,"$6,174,464","$6,174,464","$6,174,464","$6,174,464",$0,$0,$0,Chelsea
97,Gabriel Jesus (http://www.capology.com/soccer/player/gabriel-jesus/salary-profile/),"$118,740",CF,22,Reserve,5,"$6,174,464","$6,174,464","$6,174,464","$6,174,464","$6,174,464",$0,$0,Manchester City
98,Harry Maguire (http://www.capology.com/soccer/player/harry-maguire/salary-profile/),"$118,740",CB,26,Starter,5,"$6,174,464","$6,174,464","$6,174,464","$6,174,464","$6,174,464",$0,$0,Leicester
99,Laurent Koscielny (http://www.capology.com/soccer/player/laurent-koscielny/salary-profile/),"$118,740",CB,33,Reserve,2,"$6,174,464","$6,174,464",$0,$0,$0,$0,$0,Arsenal
100,Lucas Digne (http://www.capology.com/soccer/player/lucas-digne/salary-profile/),"$118,740",LB,25,Starter,5,"$6,174,464","$6,174,464","$6,174,464","$6,174,464","$6,174,464",$0,$0,Everton
101,Richarlison (http://www.capology.com/soccer/player/richarlison/salary-profile/),"$118,740",LW,21,Starter,5,"$6,174,464","$6,174,464","$6,174,464","$6,174,464","$6,174,464",$0,$0,Everton
102,Shkodran Mustafi (http://www.capology.com/soccer/player/shkodran-mustafi/salary-profile/),"$118,740",CB,26,Starter,3,"$6,174,464","$6,174,464","$6,174,464",$0,$0,$0,$0,Arsenal
103,Jan Vertonghen (http://www.capology.com/soccer/player/jan-vertonghen/salary-profile/),"$118,435",CB,31,Starter,2,"$6,158,632","$6,158,632",$0,$0,$0,$0,$0,Tottenham
104,Denis Suárez (http://www.capology.com/soccer/player/denis-suarez/salary-profile/),"$113,868",CM,25,Reserve,1,"$5,921,153",$0,$0,$0,$0,$0,$0,Arsenal
105,Antonio Valencia (http://www.capology.com/soccer/player/antonio-valencia/salary-profile/),"$112,143",RB,33,Reserve,1,"$5,831,439",$0,$0,$0,$0,$0,$0,Manchester United
106,Felipe Anderson (http://www.capology.com/soccer/player/felipe-anderson/salary-profile/),"$112,143",LW,25,Starter,4,"$5,831,439","$5,831,439","$5,831,439","$5,831,439",$0,$0,$0,West Ham
107,Andreas Christensen (http://www.capology.com/soccer/player/andreas-christensen/salary-profile/),"$105,546",CB,23,Reserve,4,"$5,488,413","$5,488,413","$5,488,413","$5,488,413",$0,$0,$0,Chelsea
108,Danilo (http://www.capology.com/soccer/player/danilo/salary-profile/),"$105,546",RB,27,Reserve,4,"$5,488,413","$5,488,413","$5,488,413","$5,488,413",$0,$0,$0,Manchester City
109,Eric Bailly (http://www.capology.com/soccer/player/eric-bailly/salary-profile/),"$105,546",CB,25,Reserve,2,"$5,488,413","$5,488,413",$0,$0,$0,$0,$0,Manchester United
110,Erik Lamela (http://www.capology.com/soccer/player/erik-lamela/salary-profile/),"$105,546",RW,27,Reserve,4,"$5,488,413","$5,488,413","$5,488,413","$5,488,413",$0,$0,$0,Tottenham
111,Fabian Delph (http://www.capology.com/soccer/player/fabian-delph/salary-profile/),"$105,546",CM,29,Starter,2,"$5,488,413","$5,488,413",$0,$0,$0,$0,$0,Manchester City
112,Gary Cahill (http://www.capology.com/soccer/player/gary-cahill/salary-profile/),"$105,546",CB,33,Reserve,1,"$5,488,413",$0,$0,$0,$0,$0,$0,Chelsea
113,Jonny Evans (http://www.capology.com/soccer/player/jonny-evans/salary-profile/),"$105,546",CB,31,Reserve,3,"$5,488,413","$5,488,413","$5,488,413",$0,$0,$0,$0,Leicester
114,Lucas Moura (http://www.capology.com/soccer/player/lucas-moura/salary-profile/),"$105,546",RW,26,Reserve,5,"$5,488,413","$5,488,413","$5,488,413","$5,488,413","$5,488,413",$0,$0,Tottenham
115,Moussa Sissoko (http://www.capology.com/soccer/player/moussa-sissoko/salary-profile/),"$105,546",CM,29,Starter,3,"$5,488,413","$5,488,413","$5,488,413",$0,$0,$0,$0,Tottenham
116,Xherdan Shaqiri (http://www.capology.com/soccer/player/xherdan-shaqiri/salary-profile/),"$105,546",RW,27,Reserve,5,"$5,488,413","$5,488,413","$5,488,413","$5,488,413","$5,488,413",$0,$0,Liverpool
117,Christian Eriksen (http://www.capology.com/soccer/player/christian-eriksen/salary-profile/),"$98,950",AM,27,Starter,2,"$5,145,387","$5,145,387",$0,$0,$0,$0,$0,Tottenham
118,Danny Ings (http://www.capology.com/soccer/player/danny-ings/salary-profile/),"$98,950",CF,26,Reserve,1,"$5,145,387",$0,$0,$0,$0,$0,$0,Southampton
119,Fernando Llorente (http://www.capology.com/soccer/player/fernando-llorente/salary-profile/),"$98,950",CF,34,Reserve,1,"$5,145,387",$0,$0,$0,$0,$0,$0,Tottenham
120,Georginio Wijnaldum (http://www.capology.com/soccer/player/georginio-wijnaldum/salary-profile/),"$98,950",CM,28,Starter,3,"$5,145,387","$5,145,387","$5,145,387",$0,$0,$0,$0,Liverpool
121,Jesse Lingard (http://www.capology.com/soccer/player/jesse-lingard/salary-profile/),"$98,950",RW,26,Reserve,3,"$5,145,387","$5,145,387","$5,145,387",$0,$0,$0,$0,Manchester United
122,Lazar Markovic (http://www.capology.com/soccer/player/lazar-markovic/salary-profile/),"$98,950",RW,25,Reserve,1,"$5,145,387",$0,$0,$0,$0,$0,$0,Fulham
123,Lucas Torreira (http://www.capology.com/soccer/player/lucas-torreira/salary-profile/),"$98,950",DM,23,Reserve,5,"$5,145,387","$5,145,387","$5,145,387","$5,145,387","$5,145,387",$0,$0,Arsenal
124,Nathaniel Clyne (http://www.capology.com/soccer/player/nathaniel-clyne/salary-profile/),"$98,950",RB,28,Reserve,1,"$5,145,387",$0,$0,$0,$0,$0,$0,Bournemouth
125,Pablo Zabaleta (http://www.capology.com/soccer/player/pablo-zabaleta/salary-profile/),"$98,950",RB,34,Starter,1,"$5,145,387",$0,$0,$0,$0,$0,$0,West Ham
126,Phil Jones (http://www.capology.com/soccer/player/phil-jones/salary-profile/),"$98,950",CB,27,Reserve,5,"$5,145,387","$5,145,387","$5,145,387","$5,145,387","$5,145,387",$0,$0,Manchester United
127,Stephan Lichtsteiner (http://www.capology.com/soccer/player/stephan-lichtsteiner/salary-profile/),"$98,950",RB,35,Reserve,1,"$5,145,387",$0,$0,$0,$0,$0,$0,Arsenal
128,Wilfred Ndidi (http://www.capology.com/soccer/player/wilfred-ndidi/salary-profile/),"$98,950",DM,22,Starter,6,"$5,145,387","$5,145,387","$5,145,387","$5,145,387","$5,145,387","$5,145,387",$0,Leicester
129,Abdoulaye Doucouré (http://www.capology.com/soccer/player/abdoulaye-doucoure/salary-profile/),"$92,353",CM,26,Starter,5,"$4,802,361","$4,802,361","$4,802,361","$4,802,361","$4,802,361",$0,$0,Watford
130,Andre Gray (http://www.capology.com/soccer/player/andre-gray/salary-profile/),"$92,353",CF,27,Starter,4,"$4,802,361","$4,802,361","$4,802,361","$4,802,361",$0,$0,$0,Watford
131,Angelo Ogbonna (http://www.capology.com/soccer/player/angelo-ogbonna/salary-profile/),"$92,353",CB,30,Starter,4,"$4,802,361","$4,802,361","$4,802,361","$4,802,361",$0,$0,$0,West Ham
132,Asmir Begovic (http://www.capology.com/soccer/player/asmir-begovic/salary-profile/),"$92,353",GK,31,Starter,3,"$4,802,361","$4,802,361","$4,802,361",$0,$0,$0,$0,Bournemouth
133,Charlie Austin (http://www.capology.com/soccer/player/charlie-austin/salary-profile/),"$92,353",CF,29,Reserve,2,"$4,802,361","$4,802,361",$0,$0,$0,$0,$0,Southampton
134,Chris Smalling (http://www.capology.com/soccer/player/chris-smalling/salary-profile/),"$92,353",CB,29,Starter,4,"$4,802,361","$4,802,361","$4,802,361","$4,802,361",$0,$0,$0,Manchester United
135,Davide Zappacosta (http://www.capology.com/soccer/player/davide-zappacosta/salary-profile/),"$92,353",RB,26,Reserve,3,"$4,802,361","$4,802,361","$4,802,361",$0,$0,$0,$0,Chelsea
136,Fraser Forster (http://www.capology.com/soccer/player/fraser-forster/salary-profile/),"$92,353",GK,31,Reserve,4,"$4,802,361","$4,802,361","$4,802,361","$4,802,361",$0,$0,$0,Southampton
137,Idrissa Gueye (http://www.capology.com/soccer/player/idrissa-gueye/salary-profile/),"$92,353",CM,29,Starter,4,"$4,802,361","$4,802,361","$4,802,361","$4,802,361",$0,$0,$0,Everton
138,Jonjo Shelvey (http://www.capology.com/soccer/player/jonjo-shelvey/salary-profile/),"$92,353",CM,27,Starter,3,"$4,802,361","$4,802,361","$4,802,361",$0,$0,$0,$0,Newcastle
