Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
27,Diego Godín (http://www.capology.com/soccer/player/diego-godin/salary-profile/),"$212,943",CB,33,Starter,1,"$11,073,034",$0,$0,$0,$0,$0,$0,Atlético Madrid
28,Arturo Vidal (http://www.capology.com/soccer/player/arturo-vidal/salary-profile/),"$195,740",CM,31,Reserve,3,"$10,178,460","$10,178,460","$10,178,460",$0,$0,$0,$0,Barcelona
29,Iñigo Martínez (http://www.capology.com/soccer/player/inigo-martinez/salary-profile/),"$195,065",CB,27,Starter,5,"$10,143,401","$10,143,401","$10,143,401","$10,143,401","$10,143,401",$0,$0,Athletic Club
30,Jordi Alba (http://www.capology.com/soccer/player/jordi-alba/salary-profile/),"$186,605",LB,30,Starter,6,"$9,703,465","$9,703,465","$9,703,465","$9,703,465","$9,703,465","$9,703,465",$0,Barcelona
31,Keylor Navas (http://www.capology.com/soccer/player/keylor-navas/salary-profile/),"$186,605",GK,32,Reserve,2,"$9,703,465","$9,703,465",$0,$0,$0,$0,$0,Real Madrid
32,Marc-André ter Stegen (http://www.capology.com/soccer/player/marc-andre-ter-stegen/salary-profile/),"$186,605",GK,26,Starter,4,"$9,703,465","$9,703,465","$9,703,465","$9,703,465",$0,$0,$0,Barcelona
33,Mariano Díaz (http://www.capology.com/soccer/player/mariano-diaz/salary-profile/),"$186,605",CF,25,Reserve,5,"$9,703,465","$9,703,465","$9,703,465","$9,703,465","$9,703,465",$0,$0,Real Madrid
34,Marco Asensio (http://www.capology.com/soccer/player/marco-asensio/salary-profile/),"$181,233",LW,23,Starter,5,"$9,424,123","$9,424,123","$9,424,123","$9,424,123","$9,424,123",$0,$0,Real Madrid
35,Simon Kjær (http://www.capology.com/soccer/player/simon-kjaer/salary-profile/),"$181,233",CB,30,Starter,3,"$9,424,123","$9,424,123","$9,424,123",$0,$0,$0,$0,Sevilla
36,Daniel Carvajal (http://www.capology.com/soccer/player/daniel-carvajal/salary-profile/),"$179,906",RB,27,Starter,4,"$9,355,136","$9,355,136","$9,355,136","$9,355,136",$0,$0,$0,Real Madrid
37,Filipe Luís (http://www.capology.com/soccer/player/filipe-luis/salary-profile/),"$169,054",LB,33,Starter,1,"$8,790,797",$0,$0,$0,$0,$0,$0,Atlético Madrid
38,Thomas Vermaelen (http://www.capology.com/soccer/player/thomas-vermaelen/salary-profile/),"$163,986",CB,33,Reserve,1,"$8,527,288",$0,$0,$0,$0,$0,$0,Barcelona
39,Kévin Gameiro (http://www.capology.com/soccer/player/kevin-gameiro/salary-profile/),"$163,421",CF,31,Reserve,3,"$8,497,883","$8,497,883","$8,497,883",$0,$0,$0,$0,Valencia
40,Rodri (http://www.capology.com/soccer/player/rodri/salary-profile/),"$148,262",DM,22,Starter,5,"$7,709,618","$7,709,618","$7,709,618","$7,709,618","$7,709,618",$0,$0,Atlético Madrid
41,Rodrigo (http://www.capology.com/soccer/player/rodrigo/salary-profile/),"$148,262",CF,28,Starter,4,"$7,709,618","$7,709,618","$7,709,618","$7,709,618",$0,$0,$0,Valencia
42,Nolito (http://www.capology.com/soccer/player/nolito/salary-profile/),"$143,542",LW,32,Reserve,2,"$7,464,204","$7,464,204",$0,$0,$0,$0,$0,Sevilla
43,Geoffrey Kondogbia (http://www.capology.com/soccer/player/geoffrey-kondogbia/salary-profile/),"$140,954",CM,26,Starter,4,"$7,329,622","$7,329,622","$7,329,622","$7,329,622",$0,$0,$0,Valencia
44,Juanfran (http://www.capology.com/soccer/player/juanfran/salary-profile/),"$140,824",RB,34,Starter,1,"$7,322,837",$0,$0,$0,$0,$0,$0,Atlético Madrid
45,Juanfran Moreno (http://www.capology.com/soccer/player/juanfran-moreno/salary-profile/),"$140,824",RB,30,Starter,1,"$7,322,837",$0,$0,$0,$0,$0,$0,Leganés
46,Nikola Kalinic (http://www.capology.com/soccer/player/nikola-kalinic/salary-profile/),"$140,824",CF,31,Reserve,3,"$7,322,837","$7,322,837","$7,322,837",$0,$0,$0,$0,Atlético Madrid
47,Thomas Lemar (http://www.capology.com/soccer/player/thomas-lemar/salary-profile/),"$140,824",LW,23,Starter,5,"$7,322,837","$7,322,837","$7,322,837","$7,322,837","$7,322,837",$0,$0,Atlético Madrid
48,Éver Banega (http://www.capology.com/soccer/player/ever-banega/salary-profile/),"$140,063",CM,30,Starter,2,"$7,283,254","$7,283,254",$0,$0,$0,$0,$0,Sevilla
49,Carlos Bacca (http://www.capology.com/soccer/player/carlos-bacca/salary-profile/),"$133,081",CF,32,Starter,4,"$6,920,222","$6,920,222","$6,920,222","$6,920,222",$0,$0,$0,Villarreal
50,Raúl García (http://www.capology.com/soccer/player/raul-garcia/salary-profile/),"$125,534",AM,32,Starter,2,"$6,527,786","$6,527,786",$0,$0,$0,$0,$0,Athletic Club
51,Raúl García Carnero (http://www.capology.com/soccer/player/raul-garcia-carnero/salary-profile/),"$125,534",LB,29,Reserve,1,"$6,527,786",$0,$0,$0,$0,$0,$0,Girona
52,Gonçalo Guedes (http://www.capology.com/soccer/player/goncalo-guedes/salary-profile/),"$124,621",LW,22,Reserve,5,"$6,480,286","$6,480,286","$6,480,286","$6,480,286","$6,480,286",$0,$0,Valencia
53,Vinícius Júnior (http://www.capology.com/soccer/player/vinicius-junior/salary-profile/),"$115,486",LW,18,Reserve,7,"$6,005,291","$6,005,291","$6,005,291","$6,005,291","$6,005,291","$6,005,291","$6,005,291",Real Madrid
54,Dani Parejo (http://www.capology.com/soccer/player/dani-parejo/salary-profile/),"$114,877",CM,29,Reserve,4,"$5,973,625","$5,973,625","$5,973,625","$5,973,625",$0,$0,$0,Valencia
55,Ezequiel Garay (http://www.capology.com/soccer/player/ezequiel-garay/salary-profile/),"$108,744",CB,32,Reserve,2,"$5,654,700","$5,654,700",$0,$0,$0,$0,$0,Valencia
56,Munir El Haddadi (http://www.capology.com/soccer/player/munir-el-haddadi/salary-profile/),"$108,375",CF,23,Reserve,5,"$5,635,474","$5,635,474","$5,635,474","$5,635,474","$5,635,474",$0,$0,Sevilla
57,Arthur (http://www.capology.com/soccer/player/arthur/salary-profile/),"$106,200",CM,22,Starter,6,"$5,522,380","$5,522,380","$5,522,380","$5,522,380","$5,522,380","$5,522,380",$0,Barcelona
58,Nacho (http://www.capology.com/soccer/player/nacho/salary-profile/),"$100,697",CB,29,Reserve,2,"$5,236,252","$5,236,252",$0,$0,$0,$0,$0,Real Madrid
59,Yuri Berchiche (http://www.capology.com/soccer/player/yuri-berchiche/salary-profile/),"$98,631",LB,29,Starter,4,"$5,128,813","$5,128,813","$5,128,813","$5,128,813",$0,$0,$0,Athletic Club
60,Stefan Savic (http://www.capology.com/soccer/player/stefan-savic/salary-profile/),"$97,609",CB,28,Reserve,2,"$5,075,659","$5,075,659",$0,$0,$0,$0,$0,Atlético Madrid
61,Jasper Cillessen (http://www.capology.com/soccer/player/jasper-cillessen/salary-profile/),"$97,261",GK,29,Reserve,3,"$5,057,564","$5,057,564","$5,057,564",$0,$0,$0,$0,Barcelona
62,Rafinha Alcantara (http://www.capology.com/soccer/player/rafinha-alcantara/salary-profile/),"$97,261",CM,26,Reserve,2,"$5,057,564","$5,057,564",$0,$0,$0,$0,$0,Barcelona
63,Adnan Januzaj (http://www.capology.com/soccer/player/adnan-januzaj/salary-profile/),"$96,695",RW,24,Reserve,4,"$5,028,159","$5,028,159","$5,028,159","$5,028,159",$0,$0,$0,Real Sociedad
64,Malcom (http://www.capology.com/soccer/player/malcom/salary-profile/),"$95,412",RW,22,Reserve,5,"$4,961,434","$4,961,434","$4,961,434","$4,961,434","$4,961,434",$0,$0,Barcelona
65,Diego López (http://www.capology.com/soccer/player/diego-lopez/salary-profile/),"$95,064",GK,37,Starter,2,"$4,943,339","$4,943,339",$0,$0,$0,$0,$0,Espanyol
66,Jesús Navas (http://www.capology.com/soccer/player/jesus-navas/salary-profile/),"$86,691",RM,33,Starter,3,"$4,507,927","$4,507,927","$4,507,927",$0,$0,$0,$0,Sevilla
67,Iago Aspas (http://www.capology.com/soccer/player/iago-aspas/salary-profile/),"$84,168",CF,31,Reserve,4,"$4,376,738","$4,376,738","$4,376,738","$4,376,738",$0,$0,$0,Celta Vigo
68,Franco Vázquez (http://www.capology.com/soccer/player/franco-vazquez/salary-profile/),"$82,080",AM,30,Starter,3,"$4,268,168","$4,268,168","$4,268,168",$0,$0,$0,$0,Sevilla
69,Sofiane Boufal (http://www.capology.com/soccer/player/sofiane-boufal/salary-profile/),"$81,884",AM,25,Reserve,1,"$4,257,989",$0,$0,$0,$0,$0,$0,Celta Vigo
70,Neto (http://www.capology.com/soccer/player/neto/salary-profile/),"$80,558",GK,29,Starter,3,"$4,189,002","$4,189,002","$4,189,002",$0,$0,$0,$0,Valencia
71,André Silva (http://www.capology.com/soccer/player/andre-silva/salary-profile/),"$80,471",CF,23,Starter,1,"$4,184,478",$0,$0,$0,$0,$0,$0,Sevilla
72,Maxime Gonalons (http://www.capology.com/soccer/player/maxime-gonalons/salary-profile/),"$80,471",DM,30,Reserve,1,"$4,184,478",$0,$0,$0,$0,$0,$0,Sevilla
73,Lucas Vázquez (http://www.capology.com/soccer/player/lucas-vazquez/salary-profile/),"$80,275",RW,27,Reserve,3,"$4,174,300","$4,174,300","$4,174,300",$0,$0,$0,$0,Real Madrid
74,Iñaki Williams (http://www.capology.com/soccer/player/inaki-williams/salary-profile/),"$79,296",RW,24,Starter,7,"$4,123,407","$4,123,407","$4,123,407","$4,123,407","$4,123,407","$4,123,407","$4,123,407",Athletic Club
75,Francis Coquelin (http://www.capology.com/soccer/player/francis-coquelin/salary-profile/),"$79,166",DM,27,Starter,4,"$4,116,622","$4,116,622","$4,116,622","$4,116,622",$0,$0,$0,Valencia
76,Gabriel Paulista (http://www.capology.com/soccer/player/gabriel-paulista/salary-profile/),"$79,166",CB,28,Starter,4,"$4,116,622","$4,116,622","$4,116,622","$4,116,622",$0,$0,$0,Valencia
77,Theo Hernández (http://www.capology.com/soccer/player/theo-hernandez/salary-profile/),"$78,296",LB,21,Reserve,1,"$4,071,384",$0,$0,$0,$0,$0,$0,Real Sociedad
78,Marc Bartra (http://www.capology.com/soccer/player/marc-bartra/salary-profile/),"$78,035",CB,28,Reserve,5,"$4,057,813","$4,057,813","$4,057,813","$4,057,813","$4,057,813",$0,$0,Real Betis
79,Álvaro Odriozola (http://www.capology.com/soccer/player/alvaro-odriozola/salary-profile/),"$77,578",RB,23,Reserve,6,"$4,034,063","$4,034,063","$4,034,063","$4,034,063","$4,034,063","$4,034,063",$0,Real Madrid
80,Gerard Moreno (http://www.capology.com/soccer/player/gerard-moreno/salary-profile/),"$77,426",CF,27,Reserve,5,"$4,026,146","$4,026,146","$4,026,146","$4,026,146","$4,026,146",$0,$0,Villarreal
81,Aleix Vidal (http://www.capology.com/soccer/player/aleix-vidal/salary-profile/),"$76,164",RM,29,Reserve,4,"$3,960,552","$3,960,552","$3,960,552","$3,960,552",$0,$0,$0,Sevilla
82,David López (http://www.capology.com/soccer/player/david-lopez/salary-profile/),"$75,860",CB,29,Starter,5,"$3,944,719","$3,944,719","$3,944,719","$3,944,719","$3,944,719",$0,$0,Espanyol
83,Ángel Correa (http://www.capology.com/soccer/player/angel-correa/salary-profile/),"$75,860",RW,24,Starter,6,"$3,944,719","$3,944,719","$3,944,719","$3,944,719","$3,944,719","$3,944,719",$0,Atlético Madrid
84,Guido Carrillo (http://www.capology.com/soccer/player/guido-carrillo/salary-profile/),"$75,577",CF,27,Starter,1,"$3,930,017",$0,$0,$0,$0,$0,$0,Leganés
85,Daniel Wass (http://www.capology.com/soccer/player/daniel-wass/salary-profile/),"$75,468",CM,29,Reserve,4,"$3,924,362","$3,924,362","$3,924,362","$3,924,362",$0,$0,$0,Valencia
86,Nélson Semedo (http://www.capology.com/soccer/player/nelson-semedo/salary-profile/),"$74,577",RB,25,Starter,4,"$3,877,993","$3,877,993","$3,877,993","$3,877,993",$0,$0,$0,Barcelona
87,José Gayà (http://www.capology.com/soccer/player/jose-gaya/salary-profile/),"$71,532",LB,23,Starter,5,"$3,719,662","$3,719,662","$3,719,662","$3,719,662","$3,719,662",$0,$0,Valencia
88,Pablo Piatti (http://www.capology.com/soccer/player/pablo-piatti/salary-profile/),"$71,532",LW,30,Reserve,2,"$3,719,662","$3,719,662",$0,$0,$0,$0,$0,Espanyol
89,Quincy Promes (http://www.capology.com/soccer/player/quincy-promes/salary-profile/),"$67,508",LW,27,Reserve,5,"$3,510,438","$3,510,438","$3,510,438","$3,510,438","$3,510,438",$0,$0,Sevilla
90,José Giménez (http://www.capology.com/soccer/player/jose-gimenez/salary-profile/),"$67,095",CB,24,Starter,5,"$3,488,950","$3,488,950","$3,488,950","$3,488,950","$3,488,950",$0,$0,Atlético Madrid
91,William Carvalho (http://www.capology.com/soccer/player/william-carvalho/salary-profile/),"$66,812",DM,27,Starter,5,"$3,474,248","$3,474,248","$3,474,248","$3,474,248","$3,474,248",$0,$0,Real Betis
92,Sandro Ramírez (http://www.capology.com/soccer/player/sandro-ramirez/salary-profile/),"$65,508",CF,23,Reserve,1,"$3,406,391",$0,$0,$0,$0,$0,$0,Real Sociedad
93,Dani Ceballos (http://www.capology.com/soccer/player/dani-ceballos/salary-profile/),"$64,507",CM,22,Reserve,5,"$3,354,368","$3,354,368","$3,354,368","$3,354,368","$3,354,368",$0,$0,Real Madrid
94,Willian José (http://www.capology.com/soccer/player/willian-jose/salary-profile/),"$64,007",CF,27,Starter,6,"$3,328,356","$3,328,356","$3,328,356","$3,328,356","$3,328,356","$3,328,356",$0,Real Sociedad
95,Pablo Sarabia (http://www.capology.com/soccer/player/pablo-sarabia/salary-profile/),"$62,354",AM,26,Starter,2,"$3,242,405","$3,242,405",$0,$0,$0,$0,$0,Sevilla
96,Asier Illarramendi (http://www.capology.com/soccer/player/asier-illarramendi/salary-profile/),"$62,202",DM,29,Starter,5,"$3,234,488","$3,234,488","$3,234,488","$3,234,488","$3,234,488",$0,$0,Real Sociedad
97,Roque Mesa (http://www.capology.com/soccer/player/roque-mesa/salary-profile/),"$62,202",CM,29,Reserve,3,"$3,234,488","$3,234,488","$3,234,488",$0,$0,$0,$0,Sevilla
98,Lucas Hernández (http://www.capology.com/soccer/player/lucas-hernandez/salary-profile/),"$61,636",CB,23,Reserve,6,"$3,205,084","$3,205,084","$3,205,084","$3,205,084","$3,205,084","$3,205,084",$0,Atlético Madrid
99,Clément Lenglet (http://www.capology.com/soccer/player/clement-lenglet/salary-profile/),"$58,700",CB,23,Reserve,5,"$3,052,407","$3,052,407","$3,052,407","$3,052,407","$3,052,407",$0,$0,Barcelona
100,Vicente Iborra (http://www.capology.com/soccer/player/vicente-iborra/salary-profile/),"$58,287",DM,31,Starter,5,"$3,030,919","$3,030,919","$3,030,919","$3,030,919","$3,030,919",$0,$0,Villarreal
101,Bruno Soriano (http://www.capology.com/soccer/player/bruno-soriano/salary-profile/),"$57,004",DM,34,Reserve,2,"$2,964,194","$2,964,194",$0,$0,$0,$0,$0,Villarreal
102,Borja Bastón (http://www.capology.com/soccer/player/borja-baston/salary-profile/),"$56,699",CF,26,Reserve,1,"$2,948,361",$0,$0,$0,$0,$0,$0,Alaves
103,Wesley Hoedt (http://www.capology.com/soccer/player/wesley-hoedt/salary-profile/),"$56,699",CB,25,Starter,1,"$2,948,361",$0,$0,$0,$0,$0,$0,Celta Vigo
104,Casemiro (http://www.capology.com/soccer/player/casemiro/salary-profile/),"$54,176",DM,27,Starter,3,"$2,817,172","$2,817,172","$2,817,172",$0,$0,$0,$0,Real Madrid
105,Sergio Asenjo (http://www.capology.com/soccer/player/sergio-asenjo/salary-profile/),"$54,176",GK,29,Starter,4,"$2,817,172","$2,817,172","$2,817,172","$2,817,172",$0,$0,$0,Villarreal
106,Óscar de Marcos (http://www.capology.com/soccer/player/oscar-de-marcos/salary-profile/),"$54,089",RB,29,Starter,3,"$2,812,648","$2,812,648","$2,812,648",$0,$0,$0,$0,Athletic Club
107,Thomas (http://www.capology.com/soccer/player/thomas/salary-profile/),"$53,894",DM,25,Reserve,5,"$2,802,469","$2,802,469","$2,802,469","$2,802,469","$2,802,469",$0,$0,Atlético Madrid
108,Mario Gaspar (http://www.capology.com/soccer/player/mario-gaspar/salary-profile/),"$53,872",RB,28,Starter,5,"$2,801,338","$2,801,338","$2,801,338","$2,801,338","$2,801,338",$0,$0,Villarreal
109,Jeison Murillo (http://www.capology.com/soccer/player/jeison-murillo/salary-profile/),"$53,546",CB,26,Reserve,1,"$2,784,374",$0,$0,$0,$0,$0,$0,Barcelona
110,Karl Toko Ekambi (http://www.capology.com/soccer/player/karl-toko-ekambi/salary-profile/),"$52,850",CF,26,Starter,5,"$2,748,184","$2,748,184","$2,748,184","$2,748,184","$2,748,184",$0,$0,Villarreal
111,Manu Trigueros (http://www.capology.com/soccer/player/manu-trigueros/salary-profile/),"$52,719",CM,27,Reserve,4,"$2,741,399","$2,741,399","$2,741,399","$2,741,399",$0,$0,$0,Villarreal
112,Marko Rog (http://www.capology.com/soccer/player/marko-rog/salary-profile/),"$52,306",CM,23,Reserve,1,"$2,719,911",$0,$0,$0,$0,$0,$0,Sevilla
113,Gerónimo Rulli (http://www.capology.com/soccer/player/geronimo-rulli/salary-profile/),"$52,023",GK,26,Reserve,4,"$2,705,208","$2,705,208","$2,705,208","$2,705,208",$0,$0,$0,Real Sociedad
114,Giovani Lo Celso (http://www.capology.com/soccer/player/giovani-lo-celso/salary-profile/),"$52,023",CM,23,Reserve,1,"$2,705,208",$0,$0,$0,$0,$0,$0,Real Betis
115,Douglas Luiz (http://www.capology.com/soccer/player/douglas-luiz/salary-profile/),"$50,392",CM,20,Starter,1,"$2,620,388",$0,$0,$0,$0,$0,$0,Girona
116,Cristian Tello (http://www.capology.com/soccer/player/cristian-tello/salary-profile/),"$48,978",LW,27,Reserve,4,"$2,546,877","$2,546,877","$2,546,877","$2,546,877",$0,$0,$0,Real Betis
117,Mikel Oyarzabal (http://www.capology.com/soccer/player/mikel-oyarzabal/salary-profile/),"$48,761",LW,21,Starter,6,"$2,535,567","$2,535,567","$2,535,567","$2,535,567","$2,535,567","$2,535,567",$0,Real Sociedad
118,Ibrahim Amadou (http://www.capology.com/soccer/player/ibrahim-amadou/salary-profile/),"$48,413",DM,26,Reserve,4,"$2,517,472","$2,517,472","$2,517,472","$2,517,472",$0,$0,$0,Sevilla
119,Markel Susaeta (http://www.capology.com/soccer/player/markel-susaeta/salary-profile/),"$48,391",RW,31,Reserve,1,"$2,516,342",$0,$0,$0,$0,$0,$0,Athletic Club
120,Iker Muniain (http://www.capology.com/soccer/player/iker-muniain/salary-profile/),"$47,673",LW,26,Starter,6,"$2,479,020","$2,479,020","$2,479,020","$2,479,020","$2,479,020","$2,479,020",$0,Athletic Club
121,Santiago Arias (http://www.capology.com/soccer/player/santiago-arias/salary-profile/),"$46,999",RB,27,Reserve,5,"$2,443,961","$2,443,961","$2,443,961","$2,443,961","$2,443,961",$0,$0,Atlético Madrid
122,Sergio León (http://www.capology.com/soccer/player/sergio-leon/salary-profile/),"$46,956",CF,30,Starter,3,"$2,441,699","$2,441,699","$2,441,699",$0,$0,$0,$0,Real Betis
123,Mikel Merino (http://www.capology.com/soccer/player/mikel-merino/salary-profile/),"$46,847",DM,22,Reserve,5,"$2,436,045","$2,436,045","$2,436,045","$2,436,045","$2,436,045",$0,$0,Real Sociedad
124,Sergio Escudero (http://www.capology.com/soccer/player/sergio-escudero/salary-profile/),"$46,564",LB,29,Reserve,3,"$2,421,343","$2,421,343","$2,421,343",$0,$0,$0,$0,Sevilla
125,Borja Iglesias (http://www.capology.com/soccer/player/borja-iglesias/salary-profile/),"$46,369",CF,26,Starter,4,"$2,411,164","$2,411,164","$2,411,164","$2,411,164",$0,$0,$0,Espanyol
126,Ander Iturraspe (http://www.capology.com/soccer/player/ander-iturraspe/salary-profile/),"$45,781",DM,30,Reserve,1,"$2,380,629",$0,$0,$0,$0,$0,$0,Athletic Club
127,Joaquín (http://www.capology.com/soccer/player/joaquin/salary-profile/),"$45,781",RW,37,Reserve,2,"$2,380,629","$2,380,629",$0,$0,$0,$0,$0,Real Betis
128,Denis Cheryshev (http://www.capology.com/soccer/player/denis-cheryshev/salary-profile/),"$45,694",LW,28,Starter,1,"$2,376,105",$0,$0,$0,$0,$0,$0,Valencia
129,Juanmi (http://www.capology.com/soccer/player/juanmi/salary-profile/),"$45,499",RW,25,Starter,3,"$2,365,926","$2,365,926","$2,365,926",$0,$0,$0,$0,Real Sociedad
130,Ramiro Funes Mori (http://www.capology.com/soccer/player/ramiro-funes-mori/salary-profile/),"$45,238",CB,28,Starter,4,"$2,352,355","$2,352,355","$2,352,355","$2,352,355",$0,$0,$0,Villarreal
131,Hugo Mallo (http://www.capology.com/soccer/player/hugo-mallo/salary-profile/),"$44,911",RB,27,Starter,5,"$2,335,391","$2,335,391","$2,335,391","$2,335,391","$2,335,391",$0,$0,Celta Vigo
132,Stanislav Lobotka (http://www.capology.com/soccer/player/stanislav-lobotka/salary-profile/),"$44,890",DM,24,Starter,5,"$2,334,260","$2,334,260","$2,334,260","$2,334,260","$2,334,260",$0,$0,Celta Vigo
133,Carlos Soler (http://www.capology.com/soccer/player/carlos-soler/salary-profile/),"$44,824",RM,22,Starter,3,"$2,330,867","$2,330,867","$2,330,867",$0,$0,$0,$0,Valencia
134,Miguel Ángel Moyà (http://www.capology.com/soccer/player/miguel-angel-moya/salary-profile/),"$44,281",GK,35,Starter,2,"$2,302,594","$2,302,594",$0,$0,$0,$0,$0,Real Sociedad
135,Santi Cazorla (http://www.capology.com/soccer/player/santi-cazorla/salary-profile/),"$43,824",CM,34,Starter,1,"$2,278,844",$0,$0,$0,$0,$0,$0,Villarreal
136,Jesús Vallejo (http://www.capology.com/soccer/player/jesus-vallejo/salary-profile/),"$43,498",CB,22,Reserve,3,"$2,261,880","$2,261,880","$2,261,880",$0,$0,$0,$0,Real Madrid
137,Jesé (http://www.capology.com/soccer/player/jese/salary-profile/),"$43,367",LW,26,Reserve,1,"$2,255,094",$0,$0,$0,$0,$0,$0,Real Betis
