Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
44,João Mário (http://www.capology.com/soccer/player/joao-mario/salary-profile/),"$108,744",AM,26,Starter,3,"$5,654,700","$5,654,700","$5,654,700",$0,$0,$0,$0,Inter Milan
45,Konstantinos Manolas (http://www.capology.com/soccer/player/konstantinos-manolas/salary-profile/),"$108,744",CB,27,Starter,4,"$5,654,700","$5,654,700","$5,654,700","$5,654,700",$0,$0,$0,Roma
46,Arkadiusz Milik (http://www.capology.com/soccer/player/arkadiusz-milik/salary-profile/),"$100,697",CF,25,Starter,3,"$5,236,252","$5,236,252","$5,236,252",$0,$0,$0,$0,Napoli
47,Borja Valero (http://www.capology.com/soccer/player/borja-valero/salary-profile/),"$100,697",CM,34,Reserve,2,"$5,236,252","$5,236,252",$0,$0,$0,$0,$0,Inter Milan
48,Fabio Borini (http://www.capology.com/soccer/player/fabio-borini/salary-profile/),"$100,697",LW,28,Reserve,3,"$5,236,252","$5,236,252","$5,236,252",$0,$0,$0,$0,AC Milan
49,Federico Fazio (http://www.capology.com/soccer/player/federico-fazio/salary-profile/),"$100,697",CB,32,Starter,2,"$5,236,252","$5,236,252",$0,$0,$0,$0,$0,Roma
50,Hakan Calhanoglu (http://www.capology.com/soccer/player/hakan-calhanoglu/salary-profile/),"$100,697",LW,25,Starter,3,"$5,236,252","$5,236,252","$5,236,252",$0,$0,$0,$0,AC Milan
51,Marcelo Brozovic (http://www.capology.com/soccer/player/marcelo-brozovic/salary-profile/),"$100,697",CM,26,Starter,4,"$5,236,252","$5,236,252","$5,236,252","$5,236,252",$0,$0,$0,Inter Milan
52,Matías Vecino (http://www.capology.com/soccer/player/matias-vecino/salary-profile/),"$100,697",CM,27,Starter,4,"$5,236,252","$5,236,252","$5,236,252","$5,236,252",$0,$0,$0,Inter Milan
53,Patrik Schick (http://www.capology.com/soccer/player/patrik-schick/salary-profile/),"$100,697",CF,23,Reserve,4,"$5,236,252","$5,236,252","$5,236,252","$5,236,252",$0,$0,$0,Roma
54,Riccardo Montolivo (http://www.capology.com/soccer/player/riccardo-montolivo/salary-profile/),"$100,697",DM,34,Reserve,1,"$5,236,252",$0,$0,$0,$0,$0,$0,AC Milan
55,Andrea Ranocchia (http://www.capology.com/soccer/player/andrea-ranocchia/salary-profile/),"$96,652",CB,31,Reserve,1,"$5,025,897",$0,$0,$0,$0,$0,$0,Inter Milan
56,Faouzi Ghoulam (http://www.capology.com/soccer/player/faouzi-ghoulam/salary-profile/),"$96,652",LB,28,Starter,4,"$5,025,897","$5,025,897","$5,025,897","$5,025,897",$0,$0,$0,Napoli
57,Luis Muriel (http://www.capology.com/soccer/player/luis-muriel/salary-profile/),"$93,303",CF,27,Starter,1,"$4,851,733",$0,$0,$0,$0,$0,$0,Fiorentina
58,Ciro Immobile (http://www.capology.com/soccer/player/ciro-immobile/salary-profile/),"$92,628",CF,29,Starter,5,"$4,816,673","$4,816,673","$4,816,673","$4,816,673","$4,816,673",$0,$0,Lazio
59,Ignazio Abate (http://www.capology.com/soccer/player/ignazio-abate/salary-profile/),"$92,628",RB,32,Reserve,1,"$4,816,673",$0,$0,$0,$0,$0,$0,AC Milan
60,Lucas Leiva (http://www.capology.com/soccer/player/lucas-leiva/salary-profile/),"$92,628",DM,32,Starter,2,"$4,816,673","$4,816,673",$0,$0,$0,$0,$0,Lazio
61,Mattia Perin (http://www.capology.com/soccer/player/mattia-perin/salary-profile/),"$92,628",GK,26,Reserve,4,"$4,816,673","$4,816,673","$4,816,673","$4,816,673",$0,$0,$0,Juventus
62,Franck Kessié (http://www.capology.com/soccer/player/franck-kessie/salary-profile/),"$88,605",CM,22,Starter,4,"$4,607,450","$4,607,450","$4,607,450","$4,607,450",$0,$0,$0,AC Milan
63,Juan Jesus (http://www.capology.com/soccer/player/juan-jesus/salary-profile/),"$88,605",CB,27,Reserve,2,"$4,607,450","$4,607,450",$0,$0,$0,$0,$0,Roma
64,Mattia Caldara (http://www.capology.com/soccer/player/mattia-caldara/salary-profile/),"$88,605",CB,24,Reserve,5,"$4,607,450","$4,607,450","$4,607,450","$4,607,450","$4,607,450",$0,$0,AC Milan
65,Raúl Albiol (http://www.capology.com/soccer/player/raul-albiol/salary-profile/),"$84,581",CB,33,Starter,3,"$4,398,226","$4,398,226","$4,398,226",$0,$0,$0,$0,Napoli
66,Ricardo Rodríguez (http://www.capology.com/soccer/player/ricardo-rodriguez/salary-profile/),"$84,581",LB,26,Starter,3,"$4,398,226","$4,398,226","$4,398,226",$0,$0,$0,$0,AC Milan
67,Cédric Soares (http://www.capology.com/soccer/player/cedric-soares/salary-profile/),"$81,884",RB,27,Starter,1,"$4,257,989",$0,$0,$0,$0,$0,$0,Inter Milan
68,Aleksandar Kolarov (http://www.capology.com/soccer/player/aleksandar-kolarov/salary-profile/),"$80,558",LB,33,Starter,2,"$4,189,002","$4,189,002",$0,$0,$0,$0,$0,Roma
69,Allan (http://www.capology.com/soccer/player/allan/salary-profile/),"$80,558",CM,28,Starter,5,"$4,189,002","$4,189,002","$4,189,002","$4,189,002","$4,189,002",$0,$0,Napoli
70,Andrea Bertolacci (http://www.capology.com/soccer/player/andrea-bertolacci/salary-profile/),"$80,558",CM,28,Reserve,1,"$4,189,002",$0,$0,$0,$0,$0,$0,AC Milan
71,Andrea Conti (http://www.capology.com/soccer/player/andrea-conti/salary-profile/),"$80,558",RB,25,Reserve,4,"$4,189,002","$4,189,002","$4,189,002","$4,189,002",$0,$0,$0,AC Milan
72,Giacomo Bonaventura (http://www.capology.com/soccer/player/giacomo-bonaventura/salary-profile/),"$80,558",CM,29,Reserve,2,"$4,189,002","$4,189,002",$0,$0,$0,$0,$0,AC Milan
73,Ivan Strinic (http://www.capology.com/soccer/player/ivan-strinic/salary-profile/),"$80,558",LB,31,Reserve,3,"$4,189,002","$4,189,002","$4,189,002",$0,$0,$0,$0,AC Milan
74,Mateo Musacchio (http://www.capology.com/soccer/player/mateo-musacchio/salary-profile/),"$80,558",CB,28,Starter,3,"$4,189,002","$4,189,002","$4,189,002",$0,$0,$0,$0,AC Milan
75,Mattia De Sciglio (http://www.capology.com/soccer/player/mattia-de-sciglio/salary-profile/),"$80,558",RB,26,Reserve,4,"$4,189,002","$4,189,002","$4,189,002","$4,189,002",$0,$0,$0,Juventus
76,Mattia Destro (http://www.capology.com/soccer/player/mattia-destro/salary-profile/),"$80,558",CF,28,Reserve,2,"$4,189,002","$4,189,002",$0,$0,$0,$0,$0,Bologna
77,Stephan El Shaarawy (http://www.capology.com/soccer/player/stephan-el-shaarawy/salary-profile/),"$80,558",LW,26,Starter,2,"$4,189,002","$4,189,002",$0,$0,$0,$0,$0,Roma
78,Krzysztof Piatek (http://www.capology.com/soccer/player/krzysztof-piatek/salary-profile/),"$72,511",CF,23,Starter,5,"$3,770,554","$3,770,554","$3,770,554","$3,770,554","$3,770,554",$0,$0,AC Milan
79,Andrea Belotti (http://www.capology.com/soccer/player/andrea-belotti/salary-profile/),"$72,489",CF,25,Starter,3,"$3,769,423","$3,769,423","$3,769,423",$0,$0,$0,$0,Torino
80,Justin Kluivert (http://www.capology.com/soccer/player/justin-kluivert/salary-profile/),"$72,489",LW,19,Reserve,5,"$3,769,423","$3,769,423","$3,769,423","$3,769,423","$3,769,423",$0,$0,Roma
81,Lorenzo Pellegrini (http://www.capology.com/soccer/player/lorenzo-pellegrini/salary-profile/),"$72,489",CM,22,Starter,4,"$3,769,423","$3,769,423","$3,769,423","$3,769,423",$0,$0,$0,Roma
82,Mário Rui (http://www.capology.com/soccer/player/mario-rui/salary-profile/),"$72,489",LB,27,Reserve,4,"$3,769,423","$3,769,423","$3,769,423","$3,769,423",$0,$0,$0,Napoli
83,Sergej Milinkovic-Savic (http://www.capology.com/soccer/player/sergej-milinkovic-savic/salary-profile/),"$72,489",CM,24,Starter,5,"$3,769,423","$3,769,423","$3,769,423","$3,769,423","$3,769,423",$0,$0,Lazio
84,Simone Verdi (http://www.capology.com/soccer/player/simone-verdi/salary-profile/),"$72,489",RW,26,Reserve,5,"$3,769,423","$3,769,423","$3,769,423","$3,769,423","$3,769,423",$0,$0,Napoli
85,Cristián Zapata (http://www.capology.com/soccer/player/cristian-zapata/salary-profile/),"$68,465",CB,32,Reserve,1,"$3,560,199",$0,$0,$0,$0,$0,$0,AC Milan
86,Danilo D'Ambrosio (http://www.capology.com/soccer/player/danilo-d-ambrosio/salary-profile/),"$68,465",RB,30,Starter,3,"$3,560,199","$3,560,199","$3,560,199",$0,$0,$0,$0,Inter Milan
87,Diego Laxalt (http://www.capology.com/soccer/player/diego-laxalt/salary-profile/),"$68,465",LM,26,Reserve,4,"$3,560,199","$3,560,199","$3,560,199","$3,560,199",$0,$0,$0,AC Milan
88,Federico Chiesa (http://www.capology.com/soccer/player/federico-chiesa/salary-profile/),"$68,465",RW,21,Starter,4,"$3,560,199","$3,560,199","$3,560,199","$3,560,199",$0,$0,$0,Fiorentina
89,Felipe Caicedo (http://www.capology.com/soccer/player/felipe-caicedo/salary-profile/),"$68,465",CF,30,Reserve,2,"$3,560,199","$3,560,199",$0,$0,$0,$0,$0,Lazio
90,Lucas Paquetá (http://www.capology.com/soccer/player/lucas-paqueta/salary-profile/),"$68,465",AM,21,Starter,5,"$3,560,199","$3,560,199","$3,560,199","$3,560,199","$3,560,199",$0,$0,AC Milan
91,Milan Skriniar (http://www.capology.com/soccer/player/milan-skriniar/salary-profile/),"$68,465",CB,24,Starter,4,"$3,560,199","$3,560,199","$3,560,199","$3,560,199",$0,$0,$0,Inter Milan
92,Salvatore Sirigu (http://www.capology.com/soccer/player/salvatore-sirigu/salary-profile/),"$68,465",GK,32,Starter,4,"$3,560,199","$3,560,199","$3,560,199","$3,560,199",$0,$0,$0,Torino
93,Vlad Chiriches (http://www.capology.com/soccer/player/vlad-chiriches/salary-profile/),"$68,465",CB,29,Reserve,4,"$3,560,199","$3,560,199","$3,560,199","$3,560,199",$0,$0,$0,Napoli
94,Elseid Hysaj (http://www.capology.com/soccer/player/elseid-hysaj/salary-profile/),"$64,442",RB,25,Starter,3,"$3,350,975","$3,350,975","$3,350,975",$0,$0,$0,$0,Napoli
95,Matteo Politano (http://www.capology.com/soccer/player/matteo-politano/salary-profile/),"$64,442",RW,25,Starter,1,"$3,350,975",$0,$0,$0,$0,$0,$0,Inter Milan
96,Papu Gómez (http://www.capology.com/soccer/player/papu-gomez/salary-profile/),"$64,442",SS,31,Starter,4,"$3,350,975","$3,350,975","$3,350,975","$3,350,975",$0,$0,$0,Atalanta
97,Simone Zaza (http://www.capology.com/soccer/player/simone-zaza/salary-profile/),"$64,442",CF,27,Starter,5,"$3,350,975","$3,350,975","$3,350,975","$3,350,975","$3,350,975",$0,$0,Torino
98,Manolo Gabbiadini (http://www.capology.com/soccer/player/manolo-gabbiadini/salary-profile/),"$62,985",CF,27,Starter,4,"$3,275,202","$3,275,202","$3,275,202","$3,275,202",$0,$0,$0,Sampdoria
99,Amin Younes (http://www.capology.com/soccer/player/amin-younes/salary-profile/),"$60,418",LW,25,Reserve,5,"$3,141,751","$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,Napoli
100,Duván Zapata (http://www.capology.com/soccer/player/duvan-zapata/salary-profile/),"$60,418",CF,28,Starter,2,"$3,141,751","$3,141,751",$0,$0,$0,$0,$0,Atalanta
101,Fabián Ruiz (http://www.capology.com/soccer/player/fabian-ruiz/salary-profile/),"$60,418",CM,23,Reserve,5,"$3,141,751","$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,Napoli
102,Francesco Acerbi (http://www.capology.com/soccer/player/francesco-acerbi/salary-profile/),"$60,418",CB,31,Starter,5,"$3,141,751","$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,Lazio
103,Gianluca Lapadula (http://www.capology.com/soccer/player/gianluca-lapadula/salary-profile/),"$60,418",CF,29,Reserve,4,"$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,$0,Genoa
104,Iago Falque (http://www.capology.com/soccer/player/iago-falque/salary-profile/),"$60,418",RW,29,Reserve,4,"$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,$0,Torino
105,Iván Marcano (http://www.capology.com/soccer/player/ivan-marcano/salary-profile/),"$60,418",CB,31,Reserve,3,"$3,141,751","$3,141,751","$3,141,751",$0,$0,$0,$0,Roma
106,Lautaro Martínez (http://www.capology.com/soccer/player/lautaro-martinez/salary-profile/),"$60,418",CF,21,Reserve,5,"$3,141,751","$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,Inter Milan
107,Leonardo Spinazzola (http://www.capology.com/soccer/player/leonardo-spinazzola/salary-profile/),"$60,418",LB,26,Reserve,4,"$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,$0,Juventus
108,Luis Alberto (http://www.capology.com/soccer/player/luis-alberto/salary-profile/),"$60,418",AM,26,Starter,4,"$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,$0,Lazio
109,Marko Pjaca (http://www.capology.com/soccer/player/marko-pjaca/salary-profile/),"$60,418",LW,23,Reserve,1,"$3,141,751",$0,$0,$0,$0,$0,$0,Fiorentina
110,Milan Badelj (http://www.capology.com/soccer/player/milan-badelj/salary-profile/),"$60,418",DM,30,Starter,4,"$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,$0,Lazio
111,Nicolas N'Koulou (http://www.capology.com/soccer/player/nicolas-n-koulou/salary-profile/),"$60,418",CB,29,Starter,2,"$3,141,751","$3,141,751",$0,$0,$0,$0,$0,Torino
112,Rick Karsdorp (http://www.capology.com/soccer/player/rick-karsdorp/salary-profile/),"$60,418",RB,24,Starter,4,"$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,$0,Roma
113,Roberto Gagliardini (http://www.capology.com/soccer/player/roberto-gagliardini/salary-profile/),"$60,418",CM,25,Reserve,3,"$3,141,751","$3,141,751","$3,141,751",$0,$0,$0,$0,Inter Milan
114,Samu Castillejo (http://www.capology.com/soccer/player/samu-castillejo/salary-profile/),"$60,418",RW,24,Reserve,5,"$3,141,751","$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,AC Milan
115,Valon Berisha (http://www.capology.com/soccer/player/valon-berisha/salary-profile/),"$60,418",CM,26,Reserve,5,"$3,141,751","$3,141,751","$3,141,751","$3,141,751","$3,141,751",$0,$0,Lazio
116,Bryan Cristante (http://www.capology.com/soccer/player/bryan-cristante/salary-profile/),"$56,395",CM,24,Reserve,1,"$2,932,527",$0,$0,$0,$0,$0,$0,Roma
117,Cristian Ansaldi (http://www.capology.com/soccer/player/cristian-ansaldi/salary-profile/),"$56,395",LB,32,Starter,3,"$2,932,527","$2,932,527","$2,932,527",$0,$0,$0,$0,Torino
118,Daniele Baselli (http://www.capology.com/soccer/player/daniele-baselli/salary-profile/),"$56,395",CM,27,Reserve,4,"$2,932,527","$2,932,527","$2,932,527","$2,932,527",$0,$0,$0,Torino
119,David Ospina (http://www.capology.com/soccer/player/david-ospina/salary-profile/),"$56,395",GK,30,Reserve,1,"$2,932,527",$0,$0,$0,$0,$0,$0,Napoli
120,Dennis Praet (http://www.capology.com/soccer/player/dennis-praet/salary-profile/),"$56,395",CM,24,Reserve,3,"$2,932,527","$2,932,527","$2,932,527",$0,$0,$0,$0,Sampdoria
121,José Mauri (http://www.capology.com/soccer/player/jose-mauri/salary-profile/),"$56,395",CM,22,Reserve,1,"$2,932,527",$0,$0,$0,$0,$0,$0,AC Milan
122,Marco Parolo (http://www.capology.com/soccer/player/marco-parolo/salary-profile/),"$56,395",CM,34,Starter,2,"$2,932,527","$2,932,527",$0,$0,$0,$0,$0,Lazio
123,Senad Lulic (http://www.capology.com/soccer/player/senad-lulic/salary-profile/),"$56,395",LM,33,Reserve,2,"$2,932,527","$2,932,527",$0,$0,$0,$0,$0,Lazio
124,Stefan Radu (http://www.capology.com/soccer/player/stefan-radu/salary-profile/),"$56,395",LB,32,Starter,2,"$2,932,527","$2,932,527",$0,$0,$0,$0,$0,Lazio
125,Tomás Rincón (http://www.capology.com/soccer/player/tomas-rincon/salary-profile/),"$56,395",DM,31,Starter,4,"$2,932,527","$2,932,527","$2,932,527","$2,932,527",$0,$0,$0,Torino
126,Roberto Soriano (http://www.capology.com/soccer/player/roberto-soriano/salary-profile/),"$56,221",CM,28,Starter,1,"$2,923,480",$0,$0,$0,$0,$0,$0,Bologna
127,Ante Coric (http://www.capology.com/soccer/player/ante-coric/salary-profile/),"$52,349",AM,21,Reserve,5,"$2,722,173","$2,722,173","$2,722,173","$2,722,173","$2,722,173",$0,$0,Roma
128,Armando Izzo (http://www.capology.com/soccer/player/armando-izzo/salary-profile/),"$52,349",CB,27,Starter,4,"$2,722,173","$2,722,173","$2,722,173","$2,722,173",$0,$0,$0,Torino
129,Davide Santon (http://www.capology.com/soccer/player/davide-santon/salary-profile/),"$52,349",LB,28,Reserve,4,"$2,722,173","$2,722,173","$2,722,173","$2,722,173",$0,$0,$0,Roma
130,Joaquín Correa (http://www.capology.com/soccer/player/joaquin-correa/salary-profile/),"$52,349",LW,24,Reserve,5,"$2,722,173","$2,722,173","$2,722,173","$2,722,173","$2,722,173",$0,$0,Lazio
131,Andrea Petagna (http://www.capology.com/soccer/player/andrea-petagna/salary-profile/),"$48,326",CF,23,Starter,2,"$2,512,949","$2,512,949",$0,$0,$0,$0,$0,SPAL
132,Blerim Dzemaili (http://www.capology.com/soccer/player/blerim-dzemaili/salary-profile/),"$48,326",CM,33,Reserve,2,"$2,512,949","$2,512,949",$0,$0,$0,$0,$0,Bologna
133,Dalbert (http://www.capology.com/soccer/player/dalbert/salary-profile/),"$48,326",LB,25,Reserve,5,"$2,512,949","$2,512,949","$2,512,949","$2,512,949","$2,512,949",$0,$0,Inter Milan
134,Domenico Criscito (http://www.capology.com/soccer/player/domenico-criscito/salary-profile/),"$48,326",LB,32,Starter,4,"$2,512,949","$2,512,949","$2,512,949","$2,512,949",$0,$0,$0,Genoa
135,Fabio Quagliarella (http://www.capology.com/soccer/player/fabio-quagliarella/salary-profile/),"$48,326",CF,36,Starter,2,"$2,512,949","$2,512,949",$0,$0,$0,$0,$0,Sampdoria
136,Leonardo Pavoletti (http://www.capology.com/soccer/player/leonardo-pavoletti/salary-profile/),"$48,326",CF,30,Starter,4,"$2,512,949","$2,512,949","$2,512,949","$2,512,949",$0,$0,$0,Cagliari
137,Nikola Maksimovic (http://www.capology.com/soccer/player/nikola-maksimovic/salary-profile/),"$48,326",CB,27,Reserve,3,"$2,512,949","$2,512,949","$2,512,949",$0,$0,$0,$0,Napoli
138,Roberto Inglese (http://www.capology.com/soccer/player/roberto-inglese/salary-profile/),"$48,326",CF,27,Starter,1,"$2,512,949",$0,$0,$0,$0,$0,$0,Parma
